# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	1248
#@/user_id	662924db-9313-4d87-817a-45375dfe3f1f
me 	麼	c=6 d=0.641197 t=1248
mei 	沒	c=3 d=1.55427 t=1248
mei 	美	c=1 d=0.472367 t=1248
mei dong 	沒動	c=0 d=0.1 t=589
mei lai guo 	沒來過	c=1 d=1 t=702
mei ren 	沒人	c=2 d=1.79453 t=547
mei shi 	沒事	c=1 d=1 t=493
mei shuo 	沒說	c=0 d=0.1 t=806
mei tian 	每天	c=1 d=0.229925 t=1248
mei yi yi 	沒意義	c=1 d=1 t=522
mei zuo 	沒做	c=0 d=0.1 t=866
men 	們	c=1 d=1 t=1085
mi hou tao 	獼猴桃	c=1 d=1 t=1019
mi ma 	密碼	c=1 d=1 t=621
ming tian 	明天	c=1 d=1 t=860
mo kuai 	模塊	c=1 d=1 t=667
mo sheng 	陌生	c=1 d=0.2334 t=1248
mo shi 	模式	c=1 d=1 t=700
mu di 	目的	c=1 d=0.783861 t=1051
mu di de 	目的的	c=1 d=1 t=1052
mu qian 	目前	c=1 d=0.299692 t=1248
na 	拿	c=1 d=1 t=889
na ge 	拿個	c=1 d=1 t=1002
na ge 	那個	c=1 d=0.687289 t=1248
na zhang 	那張	c=1 d=0.666977 t=1248
nan 	難	c=2 d=0.579842 t=1248
nan de 	難的	c=1 d=0.562705 t=1248
ne 	呢	c=1 d=0.16457 t=1137
ne jiu 	呢就	c=1 d=1 t=902
ne me 	呢麼	c=2 d=1.17445 t=1248
ne me duo le 	呢麼多了	c=1 d=1 t=905
ne zhang 	呢張	c=1 d=1 t=777
ne zhang tu 	呢張圖	c=1 d=1 t=747
ne zhe 	呢這	c=1 d=1 t=852
nei 	內	c=1 d=1 t=448
nei ce 	內測	c=1 d=1 t=1061
nei cun 	內存	c=1 d=1 t=447
nei he 	內核	c=6 d=1.31215 t=1248
neng 	能	c=8 d=1.53106 t=1248
neng chu 	能出	c=1 d=1 t=874
ni 	你	c=11 d=2.80759 t=1248
ni bang wo 	你幫我	c=1 d=1 t=455
