# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	15434
#@/user_id	1085ee9c-96fc-4189-a383-8ffdddf6a4c9
bu shi me 	不是麼	c=2 d=1.00084 t=10735
bu shi zai 	不是在	c=2 d=1.00182 t=14273
bu shou 	不受	c=1 d=5.11083e-16 t=15434
bu shu 	不熟	c=2 d=3.3682e-19 t=15434
bu shu 	部署	c=0 d=0.1 t=9944
bu shu fu 	不舒服	c=1 d=5.32864e-07 t=15434
bu shuo 	不說	c=4 d=0.000594657 t=15434
bu shuo le 	不說了	c=2 d=1.02692 t=5687
bu si 	不死	c=1 d=0.249569 t=4103
bu song shou 	不鬆手	c=1 d=1 t=2402
bu suan 	不算	c=2 d=2.391e-16 t=15434
bu tai 	不太	c=2 d=0.263158 t=15434
bu ting 	不停	c=1 d=1 t=12007
bu ting hao 	不挺好	c=1 d=1 t=1705
bu tong 	不同	c=3 d=4.95641e-08 t=15434
bu tong 	不通	c=1 d=0.1 t=14054
bu tong de 	不同的	c=1 d=1 t=3146
bu tong de 	不通的	c=1 d=1 t=14055
bu tong guo 	不通過	c=1 d=1 t=2889
bu tong yi 	不同意	c=1 d=3.8794e-08 t=15434
bu tu qi 	不突起	c=2 d=1.59452 t=3085
bu wan 	不玩	c=0 d=0.1 t=6808
bu wan mei 	不完美	c=1 d=2.78511e-21 t=15434
bu wan zheng 	不完整	c=2 d=1 t=13778
bu wen ding 	不穩定	c=1 d=0.778801 t=15434
bu xi huan 	不喜歡	c=3 d=0.0142642 t=15434
bu xian shen 	不現身	c=1 d=1 t=1961
bu xian shi 	不顯示	c=1 d=1 t=15051
bu xiang 	不像	c=4 d=1.00006 t=5382
bu xiang 	不想	c=4 d=1.00012 t=14351
bu xiang 	不香	c=5 d=9.73454e-08 t=15434
bu xiao xin 	不小心	c=2 d=3.51245e-06 t=15434
bu xie 	不寫	c=2 d=0.499074 t=15434
bu xie le 	不寫了	c=2 d=1.13585e-11 t=15434
bu xin 	不信	c=1 d=1 t=9774
bu xin ren 	不信任	c=1 d=1 t=1478
bu xing 	不興	c=1 d=1 t=5197
bu xing 	不行	c=11 d=0.66365 t=15434
bu xing me 	不行麼	c=1 d=9.61935e-15 t=15434
bu xiu xi 	不休息	c=1 d=1 t=4778
bu xu 	不許	c=1 d=0.000187825 t=15434
bu yan 	不嚴	c=1 d=1 t=15213
bu yao 	不要	c=9 d=0.557655 t=15434
bu yao ku 	不要哭	c=1 d=1 t=3980
bu yao tai 	不要太	c=2 d=0.382417 t=15434
bu yao zai 	不要再	c=1 d=1 t=1621
bu yi 	不宜	c=1 d=0.00132016 t=15434
bu yi ding 	不一定	c=1 d=0.0392586 t=15434
bu yi yang 	不一樣	c=4 d=3.59912e-08 t=15434
bu yi yang de 	不一樣的	c=1 d=4.78756e-12 t=15434
bu ying 	不應	c=1 d=1.08511 t=2790
bu ying gai 	不應該	c=2 d=2.53012e-09 t=15434
bu ying li 	不盈利	c=1 d=0.249075 t=15434
bu ying xiang 	不影響	c=1 d=1 t=12231
bu ying you 	不應由	c=1 d=1 t=2791
bu yong 	不用	c=10 d=0.15216 t=15434
bu yong xie 	不用謝	c=2 d=1 t=10490
bu yong xin 	不用心	c=1 d=0.00318278 t=15434
